name,n_test,LR_MAE,LR_RMSE,LR_R2,RF_MAE,RF_RMSE,RF_R2
F,249,0.10025834139831824,0.14736431141295758,0.9521356123465705,0.13511534049049564,0.18756447187025344,0.9224594234179792
AES,249,0.11055894474015897,0.15822116318377638,0.802510360962894,0.1413999440865262,0.18583297630137363,0.727566358580621
NWSA,231,0.12313801778024688,0.17106526430839522,0.9861117552864211,0.14939611323445529,0.19851136865530997,0.9812977239890902
PBCT,249,0.1434425347230867,0.19458601678560578,0.953238858589302,0.15633924723310547,0.2065188808703004,0.9473278103127958
HBAN,249,0.13746710847921434,0.1835490589560778,0.9601261324378733,0.1589911156442005,0.2102263469987495,0.9476931791061163
WU,249,0.16348116181862024,0.22861039125993035,0.8332524198043364,0.17315610940594042,0.2395944469055995,0.816844020057905
NWS,231,0.1347685372713745,0.18136632421609186,0.9838628969185484,0.17700383824652705,0.22151860484947933,0.9759268630833353
RF,249,0.15715093258963733,0.21091283825132473,0.9794384932643885,0.1781595179230719,0.23421618735600627,0.9746438846652792
HST,249,0.1750960802100802,0.24041056826402324,0.9298151543520146,0.18528978857113457,0.24965664862473,0.9243127873481378
HPQ,114,0.17912108576251595,0.2812068544995385,0.9467666473410526,0.1860742159207815,0.2877494746991883,0.9442607535668036
NI,249,0.1762437076379927,0.22725806120799946,0.9706273590327725,0.1869279203403113,0.24012773040786975,0.967206404579252
CNP,249,0.18387033323616,0.23792490249458856,0.9329480334476542,0.18735928549796582,0.2414914184574822,0.9309227365070882
KMI,249,0.1742271519813817,0.23624490783942487,0.968775113142325,0.1894695996773833,0.25231437264001466,0.9643827863855146
KEY,249,0.19277953039388251,0.2591835915462148,0.9467673701194453,0.1921169587539694,0.262277994301353,0.9454886895221833
PFE,249,0.19262813039837984,0.3029739343010338,0.9569998969505731,0.19426034067445186,0.301665729927332,0.9573704336199383
KO,249,0.20093802697442212,0.2847379136474758,0.9687934054599265,0.20558510222430806,0.28725357573472393,0.9682395484548284
DRE,249,0.2028726427583603,0.26528499056624566,0.9590323696856725,0.20856081228380424,0.27071928483791996,0.9573367560830337
PPL,249,0.21635251615887152,0.2942285959187434,0.9870219525277406,0.21387097910501793,0.2890800434591235,0.9874721708351012
BSX,249,0.21480423705940624,0.3247387528023535,0.9546909696391185,0.2224290052413044,0.3303370841591884,0.9531152943945039
LUK,249,0.21589337779733955,0.3052332457458956,0.9173836819963338,0.22325342143825594,0.3074416696539293,0.9161838658403771
GE,249,0.2338793288156363,0.3303681347329386,0.9949730412376053,0.23618276911009295,0.334414968892138,0.9948491317959813
NAVI,189,0.22417496754566438,0.3266863604869606,0.9352934881018435,0.23955753899628615,0.34520959400108786,0.9277476964109356
IPG,249,0.23684859356758636,0.36877422677824495,0.9699639474664277,0.24030699842738226,0.3691427033239652,0.969903893865042
HCP,249,0.24233092575250867,0.3356824330029095,0.9848890971189913,0.24575730260147075,0.338794341477737,0.9846076304324611
COTY,232,0.2348922109425766,0.35981588948851484,0.9420334399926863,0.24744700625696844,0.3708636287673313,0.938419198206554
CA,249,0.24411372698119244,0.4552722762087838,0.8155795515760756,0.2475075086451543,0.45935523269021833,0.8122568933260134
GLW,249,0.24488954804533514,0.37663347188582286,0.9647271723964694,0.24816395170316013,0.3772940106207584,0.9646033411303465
KIM,249,0.24149945592887823,0.32102997698194824,0.9747609703293938,0.24858099455367128,0.32522337011679014,0.9740973038783785
UDR,249,0.24669184909552613,0.3377531356509655,0.9436006538459955,0.25032527515878594,0.3397722540490081,0.9429243176186735
WY,249,0.2527590396431728,0.3425578547157352,0.9328935993761208,0.2522294152327539,0.3418168701110938,0.9331836001999215
BAC,249,0.24812522830774408,0.3470908726368273,0.982807909787796,0.2525858435116403,0.3465373500813783,0.9828627001754328
CSCO,249,0.24969354550331277,0.38781348998077814,0.9827641499522481,0.25450336687694036,0.3923960721101279,0.9823544099087312
